Age,Female,Male 
1,6821,2991
2,5107,0
3,14457,2599
4,0,9404
5,14158,24646
6,5386,20330
7,18847,87885
8,54687,231799
9,108477,291837
10,179437,525021
11,473965,735281
12,1767596,2437152
13,2838479,3938704
14,4166641,5349578
15,5969013,7284084
16,8897775,9555720
17,5753236,6578298
18,7525508,9067259
19,3877441,3875048
20,3175990,3677651
21,2676726,2558662
22,1697987,1796223
23,1067012,1154247
24,762862,879491
25,1599618,1603049
26,722276,391828
27,268603,256184
28,502384,248499
29,209448,174320
30,752074,712184
31,89586,105301
32,149702,150426
33,186632,135364
34,92552,94656
35,457786,411385
36,93493,80975
37,90079,73378
38,150411,89378
39,52291,31011
40,221098,113812
41,40662,26050
42,30407,69039
43,22391,16639
44,19794,0
45,99853,97259
46,36883,29336
47,28533,35767
48,42034,12652
49,24807,0
50,134202,100893
52,3744,27743
53,6969,20948
54,0,23254
55,15715,20648
56,17769,17100
57,30934,0
58,28287,0
59,4196,0
60,68216,53685
61,37090,0
62,11045,24489
63,17411,21672
65,47492,0
67,31662,0
69,17689,18727
70,26023,3559
71,0,5890
72,3007,0
73,0,26690
74,0,12856
77,1473,0
79,0,6783
81,2108,0
